teta,M1/s,M2/s
"2,5",2,3
"2,6",0,1
"2,7",2,2
"2,8",3,4
"2,9",2,1
3,0,4
"3,1",2,1
"3,2",0,0
"3,3",2,2
"3,4",4,1
"3,5",1,4
"3,6",1,2
"3,7",2,0
"3,8",5,4
"3,9",2,6
4,1,3
"4,1",3,3
"4,2",6,8
"4,3",10,23
"4,4",44,60
"4,5",81,107
"4,6",136,188
"4,7",185,223
"4,8",207,260
"4,9",244,333
5,291,326
"5,1",274,353
"5,2",323,346
"5,3",330,368
"5,4",372,390
"5,5",382,382
"5,6",389,395
"5,7",387,409
"5,8",360,372
"5,9",349,396
6,355,359
"6,1",345,325
"6,2",370,360
"6,3",448,567
"6,4",651,647
"6,5",657,513
"6,6",418,337
"6,7",323,337
"6,8",364,288
"6,9",300,287
7,297,409
"7,1",567,848
"7,2",1213,1275
"7,3",1291,1031
"7,4",581,381
"7,5",262,226
"7,6",242,205
"7,7",187,210
"7,8",204,231
"7,9",179,173
8,163,180
"8,1",182,189
"8,2",186,154
"8,3",173,154
"8,4",133,168
"8,5",140,137
"8,6",131,114
"8,7",161,137
"8,8",132,110
"8,9",141,104
9,123,103
"9,1",119,101
"9,2",135,109
"9,3",114,117
"9,4",116,102
"9,5",99,94
"9,6",110,99
"9,7",95,81
"9,8",100,100
"9,9",103,87
10,93,91
"10,1",102,79
"10,2",85,83
"10,3",85,81
"10,4",88,81
"10,5",71,88
"10,6",50,69
"10,7",61,78
"10,8",71,76
"10,9",73,71
11,69,50
"11,1",70,59
"11,2",64,66
"11,3",54,72
"11,4",57,63
"11,5",59,56
"11,6",62,56
"11,7",69,49
"11,8",50,56
"11,9",54,62
12,55,43
"12,1",60,49
"12,2",63,42
"12,3",50,58
"12,4",42,42
"12,5",51,52
"12,6",62,45
"12,7",74,46
"12,8",79,112
"12,9",112,132
13,100,90
"13,1",53,45
"13,2",44,45
"13,3",46,50
"13,4",40,42
"13,5",41,35
"13,6",48,36
"13,7",51,40
"13,8",44,40
"13,9",46,41
14,46,49
"14,1",45,49
"14,2",40,43
"14,3",55,69
"14,4",171,183
"14,5",243,280
"14,6",276,226
"14,7",116,108
"14,8",56,52
"14,9",45,42
15,45,42
"15,1",40,26
"15,2",36,47
"15,3",34,37
"15,4",35,39
"15,5",29,35
"15,6",22,35
"15,7",29,29
"15,8",42,27
"15,9",39,32
16,37,28
"16,1",29,30
"16,2",31,33
"16,3",36,24
"16,4",27,29
"16,5",31,27
"16,6",26,24
"16,7",31,28
"16,8",21,30
"16,9",24,30
17,37,36
"17,1",18,23
"17,2",27,35
"17,3",28,25
"17,4",20,36
"17,5",30,25
"17,6",22,22
"17,7",20,29
"17,8",20,22
"17,9",20,27
18,28,27
"18,1",24,31
"18,2",19,22
"18,3",16,24
"18,4",22,16
"18,5",20,25
"18,6",21,20
"18,7",21,15
"18,8",18,22
"18,9",20,14
19,21,18
"19,1",18,16
"19,2",23,13
"19,3",27,20
"19,4",19,19
"19,5",22,24
"19,6",28,26
"19,7",28,26
"19,8",18,13
"19,9",15,11
20,11,11
"20,1",19,14
"20,2",18,16
"20,3",7,17
"20,4",17,18
"20,5",10,11
"20,6",9,24
"20,7",14,6
"20,8",11,9
"20,9",8,13
21,9,14
"21,1",14,14
"21,2",18,15
"21,3",10,9
"21,4",10,15
"21,5",12,20
"21,6",8,13
"21,7",9,15
"21,8",18,6
"21,9",26,25
22,46,63
"22,1",64,59
"22,2",56,41
"22,3",42,17
"22,4",20,22
"22,5",16,7
"22,6",16,7
"22,7",13,13
"22,8",15,8
"22,9",13,11
23,16,9
"23,1",13,12
"23,2",9,13
"23,3",12,14
"23,4",12,8
"23,5",9,18
"23,6",10,11
"23,7",14,8
"23,8",9,13
"23,9",7,8
24,9,17
"24,1",11,10
"24,2",11,8
"24,3",11,9
"24,4",4,11
"24,5",7,14
"24,6",7,8
"24,7",10,3
"24,8",11,8
"24,9",7,8
25,5,8
"25,1",10,4
"25,2",9,5
"25,3",7,9
"25,4",10,8
"25,5",6,8
"25,6",12,5
"25,7",11,7
"25,8",6,9
"25,9",5,2
26,7,10
"26,1",7,9
"26,2",9,8
"26,3",3,6
"26,4",10,7
"26,5",8,6
"26,6",9,8
"26,7",7,11
"26,8",6,8
"26,9",5,4
27,8,11
"27,1",7,8
"27,2",7,6
"27,3",7,8
"27,4",11,4
"27,5",5,4
"27,6",8,8
"27,7",6,6
"27,8",2,3
"27,9",5,5
28,2,4
"28,1",8,4
"28,2",3,1
"28,3",3,9
"28,4",8,3
"28,5",4,5
"28,6",3,6
"28,7",5,11
"28,8",6,3
"28,9",10,4
29,4,10
"29,1",7,3
"29,2",6,2
"29,3",7,5
"29,4",4,4
"29,5",8,3
"29,6",8,7
"29,7",12,4
"29,8",4,6
"29,9",8,8
30,14,19